Geolocation,Year,Changes in Inventories,Current Health Expenditure,Current Health Expenditure GR,Consumption Expenditure %,Consumption Expenditure GR,Gross Capital Formation,GRDP,Population,Primary Drop-out rate,Primary Drop-out rate (Girls),Primary Drop-out rate (Boys),Secondary Drop-out rate,Secondary Drop-out rate (Girls),Secondary Drop-out rate (Boys),Price Index for Agriculture
Region 10: Northern Mindanao,2007,13825301.0,,,3.0,15.6,56935962.0,278501999.0,4078040.0,7.23,5.66,8.67,9.0,7.4,10.7,
Region 11: Davao Region,2007,-7510156.0,,,3.2,7.9,53906127.0,289561841.0,4241222.0,8.26,6.45,9.93,8.9,7.5,10.3,
Region 12: SOCCSKSARGEN,2007,-2902424.0,,,3.2,0.3,29560684.0,185204666.0,3489855.0,8.29,6.75,9.75,9.1,7.6,10.6,
CARAGA: Cordillera Administrative Region,2007,2066721.0,,,2.2,8.5,28536461.0,111530938.0,2336294.0,6.42,4.73,7.95,8.8,7.9,9.8,
BARMM: Bangsamoro Autonomous Region in Muslim Mindanao,2007,-11232638.0,,,2.0,11.8,9719819.0,94877985.0,3431340.0,15.77,14.28,17.37,9.3,8.7,10.1,
PHILIPPINES,2008,-10934733.0,,,100.0,16.2,1526893379.0,8050200621.0,89359772.0,6.02,4.87,7.07,7.4,5.8,9.1,
NCR: National Capital Region,2008,-16791691.0,,,43.9,16.6,541772989.0,2655351616.0,11500331.0,2.92,2.13,3.43,5.6,3.8,7.3,
CAR: Cordillera Administrative Region,2008,1699529.0,,,2.2,10.0,29704835.0,165532965.0,1575358.0,5.49,4.16,6.67,5.1,2.7,7.6,
Region 1: Ilocos Region,2008,-1384595.0,,,4.0,6.4,50763801.0,265782293.0,4649520.0,3.09,2.41,3.71,5.4,3.9,6.8,
Region 2: Cagayan Valley,2008,18866447.0,,,2.6,15.2,73649021.0,174606287.0,3152079.0,4.3,3.28,5.24,6.1,4.8,7.4,
Region 3: Central Luzon,2008,-1141473.0,,,6.4,20.3,138098487.0,832147448.0,9770406.0,3.94,3.05,4.75,6.9,5.4,8.3,
Region 4A: CALABARZON,2008,-51903824.0,,,6.6,20.3,149756689.0,1286125893.0,11988312.0,3.87,2.87,4.8,5.4,3.2,7.4,
MIMAROPA: Southwestern Tagalog Region,2008,1808683.0,,,2.4,16.7,22411802.0,174989809.0,2665411.0,6.4,5.23,7.46,8.2,6.8,9.6,
Region 5: Bicol Region,2008,5154369.0,,,3.8,21.3,47880014.0,203567999.0,5287141.0,5.9,4.71,6.96,8.8,6.9,10.7,
Region 6: Western Visayas,2008,15823095.0,,,4.4,20.7,73382845.0,375511999.0,6944719.0,6.03,4.49,7.4,7.4,5.4,9.3,
Region 7: Central Visayas,2008,-23683350.0,,,2.9,13.2,66644077.0,442118144.0,6595079.0,4.59,3.34,5.7,8.4,6.6,10.2,
Region 8: Eastern Visayas,2008,3012086.0,,,3.8,5.4,57762475.0,225450370.0,3996867.0,6.51,4.83,8.06,9.6,8.2,11.1,
Region 9: Zamboanga Peninsula,2008,15287172.0,,,3.1,6.7,47934898.0,162968224.0,3315530.0,10.27,8.38,12.01,10.5,9.2,12.0,
Region 10: Northern Mindanao,2008,18543621.0,,,3.2,23.1,66116839.0,322020334.0,4155859.0,7.28,5.76,8.67,9.8,7.9,11.7,
Region 11: Davao Region,2008,11999027.0,,,3.2,10.8,78610222.0,328336322.0,4321241.0,9.09,7.13,10.89,8.5,6.6,10.6,
Region 12: SOCCSKSARGEN,2008,2443724.0,,,3.0,24.3,37747319.0,211332780.0,3561107.0,8.33,6.65,9.92,10.2,8.4,11.9,
CARAGA: Cordillera Administrative Region,2008,1206760.0,,,2.2,12.6,32838613.0,119394512.0,2369246.0,6.62,5.19,7.91,8.7,7.7,9.8,
BARMM: Bangsamoro Autonomous Region in Muslim Mindanao,2008,-11874312.0,,,2.1,15.6,11818453.0,104963626.0,3511566.0,17.99,16.87,19.21,10.8,10.0,11.9,
PHILIPPINES,2009,-100523573.0,,,100.0,10.8,1462594876.0,8390421456.0,90974244.0,6.28,4.93,7.52,8.0,6.2,9.7,
NCR: National Capital Region,2009,-78327162.0,,,44.1,9.9,461856608.0,2754035852.0,11693627.0,4.07,3.33,4.75,6.9,5.0,8.7,
CAR: Cordillera Administrative Region,2009,4102771.0,,,2.1,10.4,32099095.0,172017163.0,1598061.0,5.04,2.73,6.41,7.9,4.4,11.4,
Region 1: Ilocos Region,2009,-2241727.0,,,3.6,12.4,55904854.0,278946712.0,4703370.0,3.6,2.75,4.38,5.5,3.8,7.1,
Region 2: Cagayan Valley,2009,21317690.0,,,2.5,8.4,75637222.0,184247388.0,3193998.0,4.81,3.45,6.04,6.9,5.3,8.5,
Region 3: Central Luzon,2009,-4638249.0,,,6.7,11.3,152676627.0,854442889.0,9969599.0,3.72,2.7,4.65,7.0,4.9,9.0,
Region 4A: CALABARZON,2009,-70383785.0,,,6.9,11.8,137230627.0,1283795207.0,12324816.0,2.57,1.78,4.2,6.5,4.2,8.8,
MIMAROPA: Southwestern Tagalog Region,2009,-4735049.0,,,2.4,8.6,18093221.0,184665344.0,2708570.0,6.93,5.64,8.08,8.6,6.3,10.8,
Region 5: Bicol Region,2009,3798417.0,,,4.0,10.6,49960679.0,223520298.0,5359687.0,5.8,4.63,6.83,8.5,6.7,10.3,
Region 6: Western Visayas,2009,6024890.0,,,4.6,11.5,65937469.0,407178512.0,7030714.0,6.05,4.4,7.52,7.1,5.4,8.7,
Region 7: Central Visayas,2009,-14827586.0,,,2.9,14.4,71085390.0,465442221.0,6706422.0,4.78,3.28,6.1,8.5,6.3,10.6,
Region 8: Eastern Visayas,2009,9742439.0,,,3.4,15.3,66895260.0,241850136.0,4053263.0,7.19,5.5,8.72,9.9,8.8,11.0,
Region 9: Zamboanga Peninsula,2009,23828928.0,,,2.8,11.9,57791190.0,178223978.0,3365869.0,10.21,8.15,12.1,10.0,9.2,10.8,
Region 10: Northern Mindanao,2009,7506651.0,,,3.4,10.1,61730858.0,346382742.0,4232861.0,8.44,6.4,10.29,11.2,9.2,13.2,
Region 11: Davao Region,2009,11299702.0,,,3.1,10.4,75252448.0,358638649.0,4401248.0,8.12,6.11,9.95,10.3,9.8,10.8,
Region 12: SOCCSKSARGEN,2009,-5144357.0,,,3.2,8.3,32340873.0,220826218.0,3631744.0,9.16,7.28,10.92,8.1,6.9,9.4,
CARAGA: Cordillera Administrative Region,2009,5586101.0,,,2.2,11.0,36471545.0,125030284.0,2401907.0,8.07,6.06,9.89,9.8,8.5,11.0,
BARMM: Bangsamoro Autonomous Region in Muslim Mindanao,2009,-13433247.0,,,2.1,18.0,11630910.0,111177863.0,3598490.0,18.63,16.8,20.62,11.4,10.7,12.3,
PHILIPPINES,2010,1856549.0,,,100.0,7.9,1921414212.0,9399450758.0,92596704.0,6.29,5.02,7.45,7.8,5.7,9.5,
NCR: National Capital Region,2010,-8382259.0,,,43.7,3.8,709295233.0,3053160348.0,11887173.0,3.31,2.53,4.03,6.7,4.6,8.8,
CAR: Cordillera Administrative Region,2010,10081530.0,,,2.1,8.7,40460952.0,189766817.0,1620087.0,6.0,4.94,6.96,8.1,5.6,10.6,
Region 1: Ilocos Region,2010,17223201.0,,,3.7,8.1,78634006.0,312628376.0,4756961.0,3.78,3.02,4.46,5.9,4.2,7.6,
Region 2: Cagayan Valley,2010,24698127.0,,,2.5,10.2,81642816.0,192880304.0,3236006.0,4.95,3.71,6.07,6.7,5.4,7.9,
Region 3: Central Luzon,2010,-25471626.0,,,6.7,7.7,160676585.0,979287700.0,10170399.0,4.15,3.02,5.19,6.7,4.7,8.5,
