Geolocation,Year,1.2.1 Poverty Proportion,1.4.1 Net Elem Enrolment Rate,1.4.1 Net Elem Enrolment Rate (Girls),1.4.1 Net Elem Enrolment Rate (Boys),1.4.1 Net JHS Enrolment Rate,1.4.1 Net JHS Enrolment Rate (Girls),1.4.1 Net JHS Enrolment Rate (Boys),1.4.1 Net SHS Enrolment Rate,1.4.1 Net SHS Enrolment Rate (Girls),1.4.1 Net SHS Enrolment Rate (Boys),1.5.4 Proportion of LGU with DRR,3.4.1 Mortality rate credited to NCD,3.4.1 Mortality rate credited to Cardio,3.4.1 Mortality rate credited to Cancer,3.4.1 Mortality rate credited to Diabetes,3.4.1 Mortality rate credited to Respi,3.7.1 Proportion of Contraceptive Use of Women,3.7.2 Teenage pregnancy rates per 1000,4.1 Elem Completion Rate,4.1 Elem Completion Rate (Female),4.1 Elem Completion Rate (Male),4.1 JHS Completion Rate,4.1 JHS Completion Rate (Female),4.1 JHS Completion Rate (Male),4.1 SHS Completion Rate,4.1 SHS Completion Rate (Female),4.1 SHS Completion Rate (Male),4.c TVET trainers trained,7.1.1 Proportion of pop with electricity,8.1.1 Growth rate of real GDP per capita,10.1.1.1 Income per capita growth rate of bottom 40,10.1.1.2 Income per capita growth rate,14.5.1.1 Coverage of protected areas,14.5.1.2 Coverage of protected NIPAS and Locally managed MPAs,"16.1.1 Victims of intentional homicide per 100,000",16.1.s1 Number of murder cases,Changes in Inventories,Current Health Expenditure,Current Health Expenditure GR,Consumption Expenditure %,Consumption Expenditure GR,Gross Capital Formation,GRDP,Population,Primary Drop-out rate,Primary Drop-out rate (Girls),Primary Drop-out rate (Boys),Secondary Drop-out rate,Secondary Drop-out rate (Girls),Secondary Drop-out rate (Boys),Price Index for Agriculture
Region 7: Central Visayas,2012,,99.79,100.56,99.07,64.02,70.8,57.65,,,,,4.4,2.6,1.1,0.4,0.3,,,80.86,87.45,75.03,74.36,80.84,68.07,,,,,71.68102051914411,7.512821173550833,,,,,,,-24630912.0,,,3.2,17.3,113821899.0,674544563.0,7044060.0,4.19,2.79,5.42,8.3,5.8,10.7,
Region 8: Eastern Visayas,2012,,96.13,96.59,95.69,60.03,67.33,53.26,,,,,3.6,2.3,0.7,0.4,0.3,,,74.04,79.34,69.45,70.66,75.69,65.57,,,,,69.19329851448832,-3.949956055608297,,,,,,,-10166759.0,,,4.4,3.8,63244342.0,265041353.0,4234716.0,5.84,4.53,7.02,9.8,7.8,11.7,
Region 9: Zamboanga Peninsula,2012,,95.03,95.69,94.41,51.63,58.14,45.46,,,,,3.3,2.1,0.7,0.3,0.2,,,55.49,61.28,50.5,64.56,69.53,59.44,,,,,50.77889078333517,9.794004471357413,,,,,,,26708235.0,,,2.8,9.3,66283144.0,236734323.0,3504953.0,11.5,9.69,13.14,12.0,10.1,14.1,
Region 10: Northern Mindanao,2012,,94.42,94.36,94.47,57.35,63.22,51.76,,,,,3.9,2.4,0.9,0.4,0.3,,,63.25,68.47,58.65,72.22,77.86,66.57,,,,,67.29184548908606,5.523041169915885,,,,,,,635725.0,,,3.5,9.0,70513455.0,472652726.0,4460443.0,8.85,7.39,10.16,8.8,6.5,11.0,
Region 11: Davao Region,2012,,98.92,99.52,98.35,57.49,63.87,51.4,,,,,4.2,2.5,0.9,0.5,0.2,,,64.52,71.19,58.78,72.22,77.03,67.21,,,,,54.84543843563957,5.236435966192062,,,,,,,29776593.0,,,3.2,12.0,128999339.0,454315711.0,4642716.0,8.58,6.77,10.2,8.7,6.8,10.5,
Region 12: SOCCSKSARGEN,2012,,90.23,91.4,89.12,55.11,61.14,49.36,,,,,3.6,2.1,0.7,0.4,0.3,,,66.0,71.49,61.06,71.76,75.83,67.61,,,,,43.49284981552763,5.970213505852399,,,,,,,-15461679.0,,,3.0,8.9,27822285.0,291093120.0,3841332.0,7.94,6.51,9.26,9.3,7.7,11.0,
CARAGA: CARAGA Administrative Region,2012,,95.49,95.82,95.18,58.9,65.7,52.52,,,,,3.7,2.2,0.8,0.5,0.2,,,72.38,79.94,65.96,69.78,74.36,65.25,,,,,81.41206497589926,8.967250040076664,,,,,,,23256019.0,,,2.2,1.7,68619229.0,180393968.0,2498771.0,6.47,4.64,8.11,10.4,8.5,12.2,
BARMM: Bangsamoro Autonomous Region in Muslim Mindanao,2012,,96.72,101.63,91.89,39.88,46.55,33.26,,,,,0.5,0.4,0.1,0.1,0.0,,,26.6,28.61,24.45,52.55,54.05,50.58,,,,,27.797789117536976,-0.2594037511477296,,,,,,,-6901624.0,,,2.7,26.4,21262421.0,154218301.0,3901019.0,23.81,22.78,24.93,18.3,17.6,19.3,
PHILIPPINES,2013,,97.2,97.68,96.74,67.89,73.69,62.42,,,,,4.5,2.7,1.0,0.5,0.3,51.8,57.0,77.67,81.33,74.38,76.25,81.01,71.57,,,,,79.85346601580922,4.948184649854653,,,,,,,-18218400.0,,,100.0,7.0,2487510204.0,12050591984.0,97516526.0,4.85,4.04,5.59,7.6,5.8,9.4,
NCR: National Capital Region,2013,,99.64,100.57,98.77,81.64,85.54,77.91,,,,,5.2,3.3,1.2,0.5,0.2,53.4,48.0,78.72,81.3,76.36,76.33,80.4,72.38,,,,,97.73778718196766,4.912505744314771,,,,,,,-25567519.0,,,42.1,5.4,957586594.0,3890702252.0,12469854.0,4.36,3.78,4.89,7.2,5.8,8.7,
CAR: Cordillera Administrative Region,2013,,99.66,99.47,99.85,71.87,78.84,65.3,,,,,3.4,2.0,1.0,0.3,0.2,59.8,53.0,82.61,85.53,79.97,76.34,82.86,69.97,,,,,78.06151842632018,5.453842621358064,,,,,,,-2783987.0,,,2.0,6.9,33081560.0,219989238.0,1682167.0,3.75,3.15,4.28,7.8,5.3,10.3,
Region 1: Ilocos Region,2013,,97.39,97.23,97.54,79.89,84.51,75.61,,,,,5.0,2.9,1.2,0.5,0.4,50.8,78.0,91.14,93.44,89.07,82.48,87.7,77.6,,,,,83.91745294919018,7.3823968611186785,,,,,,,-891655.0,,,3.6,14.3,75736595.0,393993447.0,4916323.0,1.92,1.42,2.37,5.3,3.5,6.9,
Region 2: Cagayan Valley,2013,,100.08,100.17,100.0,72.9,78.74,67.49,,,,,4.4,2.7,1.0,0.3,0.4,69.1,65.0,87.88,91.33,84.8,81.99,85.68,78.37,,,,,81.12292731168617,7.554133581939723,,,,,,,-3805473.0,,,2.2,8.7,62731146.0,268304482.0,3362667.0,2.42,1.67,3.09,5.7,4.3,7.0,
Region 3: Central Luzon,2013,,99.03,99.24,98.83,77.86,82.67,73.38,,,,,5.2,3.1,1.2,0.6,0.4,60.4,63.0,90.8,93.44,88.43,82.98,86.97,79.13,,,,,93.17833334099927,3.9672563080284102,,,,,,,14493604.0,,,7.0,6.8,274814176.0,1306617621.0,10783003.0,1.9,1.37,2.37,5.3,3.8,6.7,
Region 4A: CALABARZON,2013,,96.09,96.75,95.48,74.64,79.69,69.87,,,,,4.9,3.1,1.0,0.6,0.3,49.1,58.0,72.54,76.27,69.25,77.92,83.36,72.76,,,,,93.74427551418906,4.635088156621862,,,,,,,-11077119.0,,,7.0,11.5,290367514.0,1847878662.0,13691969.0,6.03,5.13,6.85,7.0,5.0,9.0,
MIMAROPA: Southwestern Tagalog Region,2013,,95.77,95.83,95.71,64.93,71.09,59.18,,,,,3.8,2.3,0.8,0.4,0.3,55.1,68.0,78.06,81.99,74.57,76.75,81.7,71.89,,,,,67.23157736473154,2.7225569310088247,,,,,,,-6946834.0,,,2.3,6.0,21427705.0,242953220.0,2877441.0,4.73,3.84,5.52,7.6,5.7,9.5,
Region 5: Bicol Region,2013,,98.53,98.39,98.67,64.78,71.41,58.62,,,,,,3.2,0.9,0.5,0.3,29.3,59.0,84.95,89.02,81.31,75.48,81.7,69.4,,,,,73.89640172620764,8.73662622526885,,,,,,,8305364.0,,,4.1,9.4,83011228.0,332295863.0,5647756.0,3.19,2.39,3.88,7.9,5.5,10.3,
Region 6: Western Visayas,2013,,97.71,97.88,97.56,65.21,71.69,59.16,,,,,,2.5,1.1,0.4,0.4,45.5,58.0,85.68,89.64,82.15,78.34,83.32,73.56,,,,,72.96941741747779,3.1729849963620467,,,,,,,4547658.0,,,4.4,4.0,101336678.0,566792962.0,7366225.0,2.91,2.1,3.62,6.8,5.0,8.5,
Region 7: Central Visayas,2013,,100.97,101.36,100.59,68.13,75.26,61.44,,,,,4.7,2.7,1.2,0.5,0.3,46.0,49.0,85.82,90.3,81.81,78.45,85.11,72.03,,,,,80.0535425930947,6.196494663133166,,,,,,,-15927072.0,,,3.5,15.7,126595075.0,746139449.0,7157605.0,2.88,1.97,3.67,6.9,4.5,9.2,
Region 8: Eastern Visayas,2013,,95.7,95.93,95.49,63.32,70.34,56.79,,,,,3.7,2.2,0.7,0.5,0.3,50.2,50.0,80.9,85.78,76.64,74.06,79.47,68.7,,,,,71.45574311877738,4.435973145879203,,,,,,,1207249.0,,,4.2,3.2,84580063.0,292195740.0,4299179.0,4.0,2.94,4.94,8.6,6.4,10.6,
Region 9: Zamboanga Peninsula,2013,,91.62,91.83,91.41,52.83,59.48,46.55,,,,,3.7,2.2,0.8,0.4,0.2,53.0,43.0,60.78,64.87,57.12,67.75,72.91,62.43,,,,,51.49723575931385,3.993512336170582,,,,,,,14734303.0,,,2.8,5.4,64719560.0,253224354.0,3547254.0,9.25,8.12,10.26,11.2,9.0,13.4,
Region 10: Northern Mindanao,2013,,94.0,93.82,94.18,56.67,62.83,50.8,,,,,4.1,2.4,0.9,0.5,0.3,53.0,62.0,72.12,77.99,66.95,69.11,73.15,65.0,,,,,62.42598500126233,4.177663836025729,,,,,,,-652105.0,,,3.5,10.0,70333157.0,509881162.0,4535025.0,6.15,4.82,7.32,10.2,8.6,11.8,
Region 11: Davao Region,2013,,100.65,100.87,100.44,60.04,66.62,53.81,,,,,4.5,2.8,0.9,0.5,0.3,55.1,54.0,75.51,81.12,70.56,71.89,76.36,67.31,,,,,74.78317271363537,4.368361314252226,,,,,,,7132362.0,,,3.3,6.1,120503064.0,495294298.0,4723542.0,5.28,4.02,6.4,8.9,7.1,10.8,
Region 12: SOCCSKSARGEN,2013,,90.52,91.43,89.64,56.88,63.66,50.45,,,,,3.9,2.4,0.8,0.5,0.3,60.5,58.0,73.6,78.73,68.99,73.9,79.32,68.42,,,,,45.97060052679032,7.0479526546707945,,,,,,,1452127.0,,,3.0,7.0,51909193.0,324370805.0,3910293.0,5.82,4.62,6.92,8.4,6.3,10.6,
CARAGA: CARAGA Administrative Region,2013,,96.86,96.7,97.02,61.25,67.86,55.05,,,,,3.8,2.3,0.8,0.5,0.2,57.5,87.0,80.73,86.06,76.04,73.4,77.19,69.55,,,,,87.86464499142903,8.030594099555714,,,,,,,-813155.0,,,2.0,4.8,50823123.0,194874139.0,2530627.0,4.07,2.89,5.13,8.9,7.3,10.4,
BARMM: Bangsamoro Autonomous Region in Muslim Mindanao,2013,,92.86,97.32,88.47,38.02,45.08,31.03,,,,,0.5,0.3,0.1,0.0,0.0,29.7,56.0,39.16,41.78,36.42,56.17,58.74,52.86,,,,,33.21606181122249,1.6059419700813038,,,,,,,-1626148.0,,,3.1,6.6,17953773.0,165084288.0,4015596.0,14.04,13.17,15.0,15.3,13.9,17.1,
PHILIPPINES,2014,,97.19,97.53,96.87,67.19,73.05,61.68,,,,,4.6,2.8,1.0,0.6,0.3,,,83.74,86.23,81.45,77.77,81.7,73.93,,,,,80.9,4.573826691397272,,,,,,,6863551.0,16.8,27.8,100.0,9.1,2763392839.0,13206828252.0,99170955.0,3.26,2.77,3.7,6.9,5.5,8.3,
NCR: National Capital Region,2014,,99.01,99.95,98.13,78.93,83.49,74.61,,,,,5.3,3.4,1.2,0.5,0.3,,,74.71,77.56,72.13,77.27,81.74,73.04,,,,,98.02709941895267,3.842172290162552,,,,,,,-9498709.0,24.7,3.6,41.5,6.7,1055722012.0,4215201150.0,12664407.0,4.25,3.6,4.86,6.7,5.1,8.2,
CAR: Cordillera Administrative Region,2014,,100.16,100.05,100.27,72.5,79.73,65.74,,,,,3.5,2.0,1.0,0.3,0.2,,,86.43,90.1,83.09,76.91,83.43,70.66,,,,,83.48266694743491,3.919263977685048,,,,,,,-5031597.0,2.1,11.4,2.0,7.5,24485878.0,237096008.0,1701488.0,2.84,1.71,3.5,6.3,3.8,8.8,
Region 1: Ilocos Region,2014,,97.84,97.4,98.25,79.24,83.98,74.87,,,,,5.1,2.8,1.2,0.6,0.4,,,94.54,95.56,93.6,83.57,87.52,79.86,,,,,86.43630961989454,5.465228303762302,,,,,,,2641538.0,4.0,12.4,3.9,14.5,88877912.0,430678687.0,4968877.0,1.13,0.93,1.3,4.9,3.7,6.0,
Region 2: Cagayan Valley,2014,,101.15,101.26,101.04,72.44,78.46,66.87,,,,,4.4,2.7,1.1,0.3,0.4,,,87.06,90.28,84.19,79.35,84.01,74.85,,,,,83.53402732595966,7.074621900477695,,,,,,,3196568.0,2.3,13.9,2.2,9.0,75028145.0,304061090.0,3405024.0,2.61,1.96,3.2,6.2,4.6,7.7,
Region 3: Central Luzon,2014,,99.56,99.77,99.36,77.54,82.48,72.97,,,,,5.4,3.2,1.2,0.7,0.4,,,88.93,91.66,86.49,79.23,83.43,75.27,,,,,92.29901297110476,5.702766972817528,,,,,,,-7236367.0,10.9,9.9,7.0,10.0,273085629.0,1461916690.0,10990233.0,2.28,1.74,2.77,6.4,4.9,7.8,
Region 4A: CALABARZON,2014,,97.09,97.53,96.67,74.23,79.42,69.37,,,,,5.1,3.1,1.1,0.7,0.3,,,92.29,94.24,90.47,82.27,85.3,79.33,,,,,92.03384195232992,3.1776546014259424,,,,,,,7465112.0,2.9,1.8,7.3,10.5,320280912.0,2006907506.0,14038573.0,1.55,1.22,1.85,5.3,4.2,6.4,
MIMAROPA: Southwestern Tagalog Region,2014,,95.58,95.68,95.48,65.57,71.89,59.69,,,,,3.9,2.2,0.9,0.4,0.3,,,86.88,89.52,84.47,77.44,81.98,73.0,,,,,69.35554095697299,8.496021495115528,,,,,,,580986.0,1.2,9.9,2.2,6.0,41529678.0,276139956.0,2918660.0,2.78,2.25,3.24,7.1,5.5,8.8,
Region 5: Bicol Region,2014,,98.25,98.16,98.34,64.73,71.25,58.68,,,,,,3.4,0.9,0.6,0.4,,,86.25,89.38,83.43,76.37,82.52,70.46,,,,,72.96247921806456,4.624104629178973,,,,,,,9615771.0,4.2,9.7,4.1,9.9,98493385.0,366663555.0,5719147.0,2.72,2.16,3.21,7.5,5.4,9.6,
Region 6: Western Visayas,2014,,98.47,98.28,98.64,65.11,71.59,59.07,,,,,,2.5,1.1,0.5,0.4,,,90.09,92.65,87.77,81.87,86.64,77.41,,,,,76.60615343592161,4.138347267000427,,,,,,,-7722981.0,6.4,7.6,4.3,13.6,77105459.0,615916323.0,7447870.0,1.97,1.54,2.36,5.5,4.0,6.9,
Region 7: Central Visayas,2014,,101.62,101.93,101.32,67.76,75.2,60.81,,,,,4.8,2.7,1.2,0.6,0.3,,,86.09,90.33,82.31,75.77,81.96,69.89,,,,,85.88038530829715,5.722350725832939,,,,,,,1646648.0,5.9,6.1,3.8,16.0,158426246.0,829547258.0,7271699.0,2.68,1.91,3.36,7.9,5.7,10.1,
Region 8: Eastern Visayas,2014,,95.99,96.18,95.82,62.3,68.86,56.18,,,,,3.8,2.3,0.7,0.5,0.3,,,85.37,88.32,82.73,69.16,73.71,64.79,,,,,75.0300659642322,-1.376379126439204,,,,,,,2233166.0,3.1,7.5,4.1,14.8,105230806.0,305697115.0,4365658.0,2.76,2.17,3.28,10.1,8.3,11.9,
Region 9: Zamboanga Peninsula,2014,,93.86,93.67,94.04,53.14,60.0,46.69,,,,,3.7,2.2,0.8,0.4,0.2,,,92.86,94.92,90.69,77.2,79.77,74.54,,,,,55.045772780033296,6.158580819239006,,,,,,,6208706.0,2.2,11.0,2.7,8.4,70096692.0,276633110.0,3587546.0,1.22,0.86,1.6,7.9,6.8,9.0,
Region 10: Northern Mindanao,2014,,94.31,93.86,94.73,57.55,63.86,51.56,,,,,4.0,2.2,1.0,0.6,0.2,,,82.57,86.48,79.01,76.94,81.62,72.26,,,,,67.13743995110931,6.803178171087708,,,,,,,-2773093.0,3.4,10.8,3.6,10.2,90824223.0,569991317.0,4609002.0,3.62,2.87,4.3,6.3,4.7,8.0,
Region 11: Davao Region,2014,,99.78,100.17,99.41,60.2,66.96,53.82,,,,,4.6,2.7,1.0,0.6,0.2,,,83.34,86.89,80.13,79.76,82.37,77.09,,,,,70.16317548649826,7.226857119365988,,,,,,,-1121475.0,3.7,13.5,3.2,9.0,116373706.0,555456044.0,4804572.0,3.48,2.76,4.11,6.4,5.4,7.3,
Region 12: SOCCSKSARGEN,2014,,92.95,93.64,92.29,57.87,64.26,51.82,,,,,3.8,2.2,0.8,0.5,0.3,,,93.31,96.17,90.51,84.46,85.49,83.4,,,,,51.87870686999992,4.275849757719001,,,,,,,3036139.0,3.9,10.4,3.0,4.8,56883662.0,352653227.0,3978834.0,1.14,0.64,1.95,4.9,4.4,5.4,
CARAGA: CARAGA Administrative Region,2014,,98.1,97.69,98.49,62.39,68.8,56.37,,,,,4.0,2.3,0.8,0.6,0.2,,,86.86,90.02,83.94,77.51,79.65,75.34,,,,,79.33990145943837,7.556260594447536,,,,,,,4461069.0,1.7,10.2,2.0,5.5,84487402.0,223865240.0,2562283.0,2.28,1.71,3.56,7.5,6.6,8.4,
BARMM: Bangsamoro Autonomous Region in Muslim Mindanao,2014,,81.54,85.37,77.77,30.41,36.58,24.32,,,,,0.6,0.3,0.1,0.1,0.0,,,35.33,36.58,33.92,48.73,50.29,46.67,,,,,32.146754415070774,3.2095735941620944,,,,,,,-837931.0,0.8,17.2,3.1,15.4,26461092.0,178403975.0,4137081.0,19.02,18.54,19.53,19.2,18.4,20.3,
PHILIPPINES,2015,23.5,96.9,97.15,96.66,73.57,79.42,68.09,,,,,4.7,2.8,1.0,0.6,0.3,,,84.02,87.43,80.97,74.03,78.47,69.68,,,,,89.62,4.59496997508937,7.406737855113032,5.045087494997125,,,,,-125424625.0,19.3,12.2,100.0,12.0,2975815372.0,13944157448.0,100833371.0,2.69,2.01,3.3,6.6,4.9,8.3,
NCR: National Capital Region,2015,4.1,99.85,100.95,98.8,84.1,88.99,79.52,,,,,5.5,3.4,1.2,0.6,0.3,,,82.29,84.88,79.93,74.23,77.77,70.82,,,,,98.0236435177892,4.685638782653996,5.88348589799268,4.57026787981758,,,,,-78887754.0,23.0,7.9,40.6,10.9,1072923782.0,4532443704.0,12859211.0,2.05,1.45,2.61,5.1,3.6,6.5,
CAR: Cordillera Administrative Region,2015,22.7,99.19,98.95,99.42,77.08,84.08,70.56,,,,,3.7,2.1,1.1,0.4,0.2,,,86.22,89.11,83.67,69.97,77.25,62.98,,,,,87.49111511717744,3.104854953785093,6.635383363697023,1.6583278660505352,,,,,-1869509.0,2.1,9.9,2.0,9.3,29049288.0,243673958.0,1720134.0,1.9,1.36,2.39,6.2,3.2,9.2,
Region 1: Ilocos Region,2015,18.8,96.78,96.36,97.18,84.02,88.34,80.05,,,,,5.1,2.9,1.2,0.6,0.4,,,91.5,93.01,90.14,76.44,81.0,72.19,,,,,93.6639317910117,4.289071541136906,7.453735627872171,3.572706524928737,,,,,20010380.0,4.0,9.5,4.0,15.6,113489548.0,449373363.0,5021171.0,1.13,0.83,1.41,6.1,4.4,7.7,
Region 2: Cagayan Valley,2015,17.8,102.42,102.33,102.5,77.58,83.5,72.12,,,,,4.5,2.7,1.1,0.4,0.4,,,89.0,92.87,85.57,73.68,78.9,68.66,,,,,92.29421791005636,2.846141682562987,8.900391133580342,7.312018294054079,,,,,-6693576.0,2.4,10.6,2.2,10.3,77480450.0,303113509.0,3447468.0,1.74,0.98,2.42,6.4,4.4,8.3,
Region 3: Central Luzon,2015,10.5,98.84,99.02,98.66,81.71,86.42,77.36,,,,,5.4,3.2,1.2,0.7,0.4,,,89.14,91.87,86.69,72.44,76.31,68.75,,,,,96.871580951058,4.082270509757507,6.519357420226868,5.508813250271971,,,,,14886473.0,10.7,10.9,7.0,12.0,351251636.0,1511232438.0,11199069.0,1.45,0.93,1.93,7.0,5.4,8.5,
Region 4A: CALABARZON,2015,12.5,96.36,96.84,95.9,80.25,85.25,75.58,,,,,5.0,3.0,1.1,0.7,0.3,,,88.46,91.05,86.12,81.56,84.92,78.27,,,,,95.3960473046388,4.289997384455432,6.307003995955918,4.059652826836557,,,,,-89593345.0,2.6,23.6,7.4,13.4,303867486.0,2076801161.0,14387196.0,1.76,1.54,2.21,4.7,3.5,5.9,
MIMAROPA: Southwestern Tagalog Region,2015,25.2,96.56,96.71,96.42,73.28,79.5,67.49,,,,,3.9,2.3,0.8,0.4,0.3,,,90.21,94.1,86.81,76.6,81.3,72.01,,,,,82.03390315792153,3.3209294559321165,9.53095177809158,9.318982872877823,,,,,-5855580.0,1.2,10.2,2.2,11.4,36665567.0,274605684.0,2959491.0,1.66,0.89,2.35,6.2,4.3,8.0,
Region 5: Bicol Region,2015,39.8,96.41,96.04,96.75,71.75,78.37,65.61,,,,,,3.4,0.9,0.6,0.3,,,85.44,88.72,82.52,69.45,76.05,63.1,,,,,87.98581598628581,9.244986189115592,8.240400919775848,5.213290147821392,,,,,-4034708.0,4.1,10.0,4.2,8.0,104978578.0,395256951.0,5790307.0,2.54,1.92,3.09,8.3,5.9,10.7,
Region 6: Western Visayas,2015,24.6,98.89,98.5,99.27,74.67,81.36,68.44,,,,,,2.5,1.1,0.6,0.3,,,88.94,92.98,85.41,74.79,80.45,69.48,,,,,91.4518837099042,6.424278176437184,9.042916791588684,1.9015355754320675,,,,,-15516499.0,6.2,11.2,4.5,14.6,95430431.0,667996261.0,7528646.0,1.76,1.02,2.4,6.8,4.8,8.7,
Region 7: Central Visayas,2015,29.4,102.14,102.28,102.01,75.94,83.37,69.02,,,,,5.0,2.9,1.2,0.7,0.2,,,88.49,93.69,83.08,75.3,80.6,70.07,,,,,94.60647737679116,4.417575128919964,6.546146706112088,6.114198811093874,,,,,17167841.0,5.6,9.7,4.0,15.7,158168742.0,889023020.0,7386344.0,1.85,1.07,2.89,6.1,4.3,7.9,
Region 8: Eastern Visayas,2015,41.3,95.03,95.27,94.81,69.55,75.87,63.63,,,,,3.8,2.3,0.8,0.5,0.3,,,87.94,92.06,84.3,70.14,75.88,64.63,,,,,85.59279411613763,4.71256944529415,9.02784582807865,6.861243206150647,,,,,16425053.0,3.0,13.8,4.3,15.6,131806587.0,324929357.0,4434152.0,2.01,1.22,2.7,8.3,6.0,10.5,
Region 9: Zamboanga Peninsula,2015,37.7,92.46,92.13,92.78,61.73,68.75,55.14,,,,,3.9,2.4,0.9,0.5,0.2,,,79.7,84.08,75.82,70.65,76.14,65.04,,,,,71.0872493494566,7.974192111432359,9.96018839775521,6.322664550259449,,,,,11937143.0,2.2,10.2,2.7,9.7,97615263.0,300939935.0,3625830.0,3.73,2.87,4.49,7.4,5.3,9.5,
Region 10: Northern Mindanao,2015,38.7,94.79,94.13,95.43,63.77,69.96,57.9,,,,,4.3,2.5,1.0,0.6,0.2,,,83.98,89.07,79.49,72.1,77.24,66.94,,,,,77.39253702260326,4.134850589379767,6.843058607312513,5.981041589722214,,,,,2077925.0,3.4,7.2,3.7,11.3,109130053.0,609017243.0,4682374.0,3.0,1.99,3.9,8.0,6.1,10.0,
Region 11: Davao Region,2015,23.5,101.34,101.66,101.04,68.37,75.39,61.79,,,,,4.7,2.7,1.1,0.7,0.2,,,88.84,93.81,84.43,73.44,78.21,68.62,,,,,86.91525818706664,6.197743999558142,10.438387513817094,9.47042586651059,,,,,5651865.0,3.7,6.1,3.2,14.9,127020224.0,602911849.0,4885808.0,1.9,0.99,2.72,7.2,5.4,8.9,
Region 12: SOCCSKSARGEN,2015,38.1,93.78,94.09,93.47,64.82,71.56,58.48,,,,,3.9,2.3,0.8,0.5,0.3,,,83.68,87.75,79.99,73.0,76.37,69.58,,,,,65.69149246403276,1.6905311859812144,7.068206509989827,6.130973574266085,,,,,-2483260.0,3.9,5.6,2.9,11.7,57452641.0,354753546.0,4046956.0,3.15,2.37,3.87,8.2,6.9,9.5,
CARAGA: CARAGA Administrative Region,2015,39.7,98.85,98.11,99.56,70.16,76.29,64.41,,,,,4.2,2.4,1.0,0.6,0.2,,,84.24,87.86,81.01,70.56,73.82,67.29,,,,,92.5365566037736,5.351013984484609,5.6034334242448525,5.195769997162314,,,,,-2583334.0,1.7,10.6,1.9,9.2,90681727.0,235177755.0,2593738.0,2.84,2.14,3.47,8.3,7.0,9.7,
BARMM: Bangsamoro Autonomous Region in Muslim Mindanao,2015,59.4,76.51,80.16,72.92,33.49,39.8,27.26,,,,,0.8,0.6,0.2,0.1,0.0,,,37.15,40.07,34.17,63.99,65.03,62.63,,,,,38.51442063770831,-2.003764526910828,2.8766874106698204,1.5507239344027424,,,,,-6063739.0,0.9,2.8,3.3,14.2,18803370.0,172907713.0,4265476.0,17.17,16.04,18.33,9.6,8.9,10.4,
PHILIPPINES,2016,,96.15,96.12,96.17,74.19,79.94,68.79,37.38,44.14,31.03,,4.6,2.7,1.1,0.6,0.3,,,93.06,95.52,90.83,80.91,85.6,76.2,,,,6518.0,90.65,5.376185225284118,,,1.4121254399999998,0.647,12.110578624076757,12417.0,-58265758.0,19.7,16.7,100.0,10.0,3725365802.0,15132381470.0,102530196.0,,,,,,,
NCR: National Capital Region,2016,,95.92,96.58,95.3,83.37,88.33,78.7,55.32,63.06,47.9,52.9,5.2,3.2,1.2,0.6,0.2,,,85.97,87.43,84.61,80.29,84.49,76.13,,,,610.0,98.2594430821432,5.511499901063274,,,,,17.739571458483585,2318.0,-61168427.0,22.5,7.2,40.2,9.0,1268840988.0,4928222539.0,13066832.0,,,,,,,
CAR: Cordillera Administrative Region,2016,,97.24,96.51,97.94,78.72,85.5,72.37,40.16,49.0,31.85,94.0,3.6,2.0,1.1,0.3,0.2,,,93.51,96.11,91.19,79.78,86.53,73.03,,,,201.0,90.3,1.624092370534342,,,,,10.348514988099208,180.0,2845014.0,2.1,11.0,1.9,10.2,32105379.0,255584787.0,1739380.0,,,,,,,
Region 1: Ilocos Region,2016,,94.84,94.14,95.5,84.85,89.18,80.86,51.11,58.42,44.4,44.8,5.0,2.8,1.2,0.6,0.4,,,97.41,98.94,96.04,86.57,91.73,81.68,,,,474.0,93.90044671238763,6.91962854897082,,,,,11.031909008814496,560.0,161771.0,4.0,10.2,4.2,10.5,131580148.0,490900560.0,5076184.0,,,,,,,
Region 2: Cagayan Valley,2016,,100.26,99.82,100.68,78.97,84.53,73.82,43.41,51.07,36.37,100.0,4.4,2.6,1.1,0.4,0.4,,,95.01,97.51,92.76,81.46,85.88,77.07,,,,270.0,93.09517750349916,3.468013471900917,,,,,9.188066847909155,321.0,833107.0,2.4,5.0,2.2,10.1,95196604.0,323458416.0,3493662.0,,,,,,,
Region 3: Central Luzon,2016,,98.53,98.44,98.62,82.78,87.52,78.39,47.96,54.35,42.01,59.0,5.3,3.1,1.2,0.7,0.3,,,98.05,99.46,96.28,84.85,89.05,80.75,,,,280.0,97.37316403387626,5.682582243287797,,,,,9.704967247047025,1110.0,8706663.0,10.8,7.6,7.0,10.9,421665953.0,1640708336.0,11437442.0,,,,,,,
Region 4A: CALABARZON,2016,,97.2,97.46,96.94,81.41,86.46,76.69,45.61,52.07,39.51,99.8,4.9,3.0,1.1,0.6,0.3,,,99.53,99.74,99.3,88.85,93.09,84.68,,,,833.0,96.670557699125,4.283137611591158,,,,,11.043512933323909,1628.0,-7623979.0,2.9,4.3,7.5,11.0,517220942.0,2206254090.0,14741686.0,,,,,,,
