Geolocation,Year,1.2.1 Poverty Proportion,1.4.1 Net Elem Enrolment Rate,1.4.1 Net Elem Enrolment Rate (Girls),1.4.1 Net Elem Enrolment Rate (Boys),1.4.1 Net JHS Enrolment Rate,1.4.1 Net JHS Enrolment Rate (Girls),1.4.1 Net JHS Enrolment Rate (Boys),1.4.1 Net SHS Enrolment Rate,1.4.1 Net SHS Enrolment Rate (Girls),1.4.1 Net SHS Enrolment Rate (Boys),1.5.4 Proportion of LGU with DRR,3.4.1 Mortality rate credited to NCD,3.4.1 Mortality rate credited to Cardio,3.4.1 Mortality rate credited to Cancer,3.4.1 Mortality rate credited to Diabetes,3.4.1 Mortality rate credited to Respi,3.7.1 Proportion of Contraceptive Use of Women,3.7.2 Teenage pregnancy rates per 1000,4.1 Elem Completion Rate,4.1 Elem Completion Rate (Female),4.1 Elem Completion Rate (Male),4.1 JHS Completion Rate,4.1 JHS Completion Rate (Female),4.1 JHS Completion Rate (Male),4.1 SHS Completion Rate,4.1 SHS Completion Rate (Female),4.1 SHS Completion Rate (Male),4.c TVET trainers trained,7.1.1 Proportion of pop with electricity,8.1.1 Growth rate of real GDP per capita,10.1.1.1 Income per capita growth rate of bottom 40,10.1.1.2 Income per capita growth rate,14.5.1.1 Coverage of protected areas,14.5.1.2 Coverage of protected NIPAS and Locally managed MPAs,"16.1.1 Victims of intentional homicide per 100,000",16.1.s1 Number of murder cases,Changes in Inventories,Current Health Expenditure,Current Health Expenditure GR,Consumption Expenditure %,Consumption Expenditure GR,Gross Capital Formation,GRDP,Population,Primary Drop-out rate,Primary Drop-out rate (Girls),Primary Drop-out rate (Boys),Secondary Drop-out rate,Secondary Drop-out rate (Girls),Secondary Drop-out rate (Boys),Price Index for Agriculture
Region 8: Eastern Visayas,2002,,85.91,87.35,84.54,48.99,55.41,42.9,,,,,,,,,,,,64.43,71.93,57.81,63.49,67.31,59.41,,,,,,1.703501265441318,,,,,,,-544446.0,,,4.5,6.7,29938004.0,118558368.0,3700580.0,,,,,,,
Region 9: Zamboanga Peninsula,2002,,89.74,90.07,89.43,49.24,53.7,44.79,,,,,,,,,,,,47.47,52.53,43.11,73.22,75.04,71.24,,,,,,0.6556381100849791,,,,,,,2291752.0,,,3.6,3.1,20478447.0,81220537.0,2970981.0,,,,,,,
Region 10: Northern Mindanao,2002,,89.04,89.5,88.59,53.4,58.51,48.38,,,,,,,,,,,,66.28,71.14,61.95,79.56,82.56,76.33,,,,,,7.661506825756675,,,,,,,7214546.0,,,2.6,5.4,31421346.0,158949261.0,3680709.0,,,,,,,
Region 11: Davao Region,2002,,84.96,85.99,83.97,52.28,57.07,47.55,,,,,,,,,,,,68.51,73.06,64.19,73.08,79.0,66.82,,,,,,3.313226345051305,,,,,,,18921653.0,,,3.6,2.2,48321754.0,177461785.0,3845076.0,,,,,,,
Region 12: SOCCSKSARGEN,2002,,82.01,83.18,80.89,53.38,58.89,47.97,,,,,,,,,,,,62.25,66.56,58.39,76.79,81.58,71.78,,,,,,7.457846651260553,,,,,,,-2370092.0,,,4.0,2.6,14099278.0,109032491.0,3128080.0,,,,,,,
CARAGA: CARAGA Administrative Region,2002,,80.73,81.31,80.17,49.77,55.64,44.07,,,,,,,,,,,,69.33,75.96,63.6,79.63,82.23,76.8,,,,,,4.190756101803103,,,,,,,-12743708.0,,,2.4,3.6,7031623.0,62421224.0,2168877.0,,,,,,,
BARMM: Bangsamoro Autonomous Region in Muslim Mindanao,2002,,92.72,97.15,88.29,23.69,27.04,20.3,,,,,,,,,,,,46.6,52.32,40.99,60.94,71.5,49.72,,,,,,10.950593387532765,,,,,,,2709746.0,,,1.8,13.5,10158618.0,53170834.0,3134866.0,,,,,,,
PHILIPPINES,2003,,88.74,89.68,87.84,60.15,65.07,55.34,,,,,,,,,,46.7,53.0,70.24,75.63,65.42,71.67,77.2,66.03,,,,,,3.06452599927394,,,,,,,40200557.0,,,100.0,3.9,921328434.0,4717808940.0,81398610.0,,,,,,,
NCR: National Capital Region,2003,,96.81,97.87,95.81,76.42,78.77,74.02,,,,,,,,,,47.2,35.0,83.81,87.28,80.62,73.36,78.9,67.72,,,,,,2.756815147792864,,,,,,,38680890.0,,,44.7,5.0,350366278.0,1545711905.0,10536574.0,,,,,,,
CAR: Cordillera Administrative Region,2003,,89.19,90.07,88.36,61.76,68.74,55.02,,,,,,,,,,44.4,52.0,73.9,79.12,69.21,73.61,78.38,68.46,,,,,,3.2685344903706124,,,,,,,2816938.0,,,2.6,-1.4,19788755.0,113075065.0,1451561.0,,,,,,,
Region 1: Ilocos Region,2003,,88.52,88.39,88.65,68.05,71.86,64.39,,,,,,,,,,49.6,55.0,84.46,87.6,81.63,75.53,81.79,69.48,,,,,,3.183009525362081,,,,,,,1563172.0,,,4.0,0.3,32967294.0,157948520.0,4376079.0,,,,,,,
Region 2: Cagayan Valley,2003,,85.65,86.13,85.2,61.65,67.36,56.2,,,,,,,,,,68.8,85.0,78.63,84.76,73.24,76.66,81.23,71.91,,,,,,1.1328124863788815,,,,,,,7434120.0,,,2.6,4.6,40755790.0,99116555.0,2943564.0,,,,,,,
Region 3: Central Luzon,2003,,93.61,93.95,93.29,69.35,73.65,65.18,,,,,,,,,,54.2,42.0,83.25,88.64,78.5,71.3,77.0,65.64,,,,,,2.107589457658591,,,,,,,-11413915.0,,,4.9,19.7,64973784.0,494424474.0,8797491.0,,,,,,,
Region 4A: CALABARZON,2003,,95.33,95.96,94.73,70.19,74.38,66.08,,,,,,,,,,46.1,44.0,76.5,81.49,72.07,77.91,84.23,71.69,,,,,,1.9483372440010955,,,,,,,-5564609.0,,,5.0,5.1,111408235.0,788436127.0,10334289.0,,,,,,,
MIMAROPA: Southwestern Tagalog Region,2003,,89.42,90.13,88.74,58.43,64.7,52.36,,,,,,,,,,48.5,108.0,70.42,76.17,65.32,72.25,76.14,68.16,,,,,,7.750967760265809,,,,,,,1015582.0,,,2.1,-9.0,12029760.0,95423489.0,2443548.0,,,,,,,
Region 5: Bicol Region,2003,,89.3,90.37,88.29,55.61,61.76,49.77,,,,,,,,,,30.6,60.0,71.7,77.94,66.18,69.74,75.39,63.95,,,,,,3.9513424757537914,,,,,,,133123.0,,,3.5,-5.4,23452407.0,120066693.0,4920546.0,,,,,,,
Region 6: Western Visayas,2003,,83.25,83.92,82.6,57.86,63.69,52.19,,,,,,,,,,42.3,57.0,68.05,75.08,61.97,75.37,82.13,68.6,,,,,,4.390161714513113,,,,,,,5708728.0,,,5.0,-1.9,45601881.0,220844486.0,6501206.0,,,,,,,
Region 7: Central Visayas,2003,,85.57,86.26,84.9,58.38,63.97,52.89,,,,,,,,,,47.1,45.0,70.93,78.44,64.34,69.45,77.04,61.85,,,,,,2.471710576614868,,,,,,,15346129.0,,,2.9,13.7,70933637.0,251698543.0,6046025.0,,,,,,,
Region 8: Eastern Visayas,2003,,83.74,85.57,81.99,49.96,56.91,43.36,,,,,,,,,,35.8,48.0,68.19,76.53,60.94,68.88,73.5,64.03,,,,,,4.392669343814831,,,,,,,-15430382.0,,,4.6,4.2,17339732.0,126148913.0,3744872.0,,,,,,,
Region 9: Zamboanga Peninsula,2003,,84.83,85.66,84.02,49.31,54.6,44.04,,,,,,,,,,46.9,82.0,56.41,63.15,50.55,62.14,68.56,55.49,,,,,,2.2634177641671585,,,,,,,-237244.0,,,3.6,-5.7,19815370.0,86783931.0,3033380.0,,,,,,,
Region 10: Northern Mindanao,2003,,86.92,87.92,85.96,53.8,59.28,48.42,,,,,,,,,,45.9,56.0,65.97,73.15,59.75,62.73,67.23,58.0,,,,,,4.320206558093375,,,,,,,6801237.0,,,2.6,7.7,36803846.0,177471012.0,3761342.0,,,,,,,
Region 11: Davao Region,2003,,84.36,85.74,83.03,52.11,57.37,46.92,,,,,,,,,,53.6,42.0,64.66,71.78,58.47,61.38,66.73,55.85,,,,,,4.934068243413975,,,,,,,13737486.0,,,3.5,-3.6,50647069.0,194422080.0,3923852.0,,,,,,,
