Geolocation,Year,1.2.1 Poverty Proportion,1.4.1 Net Elem Enrolment Rate,1.4.1 Net Elem Enrolment Rate (Girls),1.4.1 Net Elem Enrolment Rate (Boys),1.4.1 Net JHS Enrolment Rate,1.4.1 Net JHS Enrolment Rate (Girls),1.4.1 Net JHS Enrolment Rate (Boys),1.4.1 Net SHS Enrolment Rate,1.4.1 Net SHS Enrolment Rate (Girls),1.4.1 Net SHS Enrolment Rate (Boys),1.5.4 Proportion of LGU with DRR
Region 8: Eastern Visayas,2009,,90.23,91.85,88.72,52.45,59.05,46.3,,,,
Region 9: Zamboanga Peninsula,2009,,91.66,92.92,90.45,48.75,54.02,43.62,,,,
Region 10: Northern Mindanao,2009,,91.91,92.97,90.91,50.61,55.96,45.47,,,,
Region 11: Davao Region,2009,,93.26,94.37,92.19,54.47,59.48,49.61,,,,
Region 12: SOCCSKSARGEN,2009,,84.55,86.71,82.51,51.22,56.5,46.05,,,,
CARAGA: CARAGA Administrative Region,2009,,93.86,94.17,93.56,55.35,60.51,50.51,,,,
BARMM: Bangsamoro Autonomous Region in Muslim Mindanao,2009,,74.21,78.31,70.14,10.08,37.3,28.1,,,,
PHILIPPINES,2010,,95.92,97.47,94.46,64.3,69.76,59.11,,,,
NCR: National Capital Region,2010,,96.9,98.74,95.2,79.57,83.2,76.04,,,,
CAR: Cordillera Administrative Region,2010,,97.64,98.61,96.73,63.7,70.68,57.03,,,,
Region 1: Ilocos Region,2010,,98.32,99.17,97.53,76.4,81.19,71.91,,,,
Region 2: Cagayan Valley,2010,,95.34,96.45,94.31,69.61,75.51,64.07,,,,
Region 3: Central Luzon,2010,,98.04,99.38,96.8,74.4,78.97,70.1,,,,
Region 4A: CALABARZON,2010,,93.94,95.2,92.76,70.28,74.8,65.98,,,,
MIMAROPA: Southwestern Tagalog Region,2010,,95.04,96.25,93.92,59.95,65.67,54.54,,,,
Region 5: Bicol Region,2010,,97.19,97.99,96.44,57.77,64.44,51.57,,,,
Region 6: Western Visayas,2010,,93.38,94.87,92.0,61.36,67.6,55.47,,,,
Region 7: Central Visayas,2010,,95.48,96.8,94.23,61.46,68.09,55.2,,,,
Region 8: Eastern Visayas,2010,,95.39,96.97,93.91,56.55,63.44,50.11,,,,
Region 9: Zamboanga Peninsula,2010,,94.34,95.94,92.83,51.02,56.96,45.36,,,,
Region 10: Northern Mindanao,2010,,92.74,93.97,91.57,55.24,61.0,49.75,,,,
Region 11: Davao Region,2010,,99.37,99.56,99.18,55.87,61.68,50.3,,,,
Region 12: SOCCSKSARGEN,2010,,88.65,90.58,86.84,54.15,59.76,48.77,,,,
CARAGA: CARAGA Administrative Region,2010,,96.95,97.34,96.58,58.18,63.67,53.03,,,,
BARMM: Bangsamoro Autonomous Region in Muslim Mindanao,2010,,103.25,110.01,96.66,44.54,51.13,38.0,,,,
PHILIPPINES,2011,,98.04,99.33,96.84,65.14,70.75,59.82,,,,
NCR: National Capital Region,2011,,99.69,101.54,97.97,79.79,83.41,76.27,,,,
CAR: Cordillera Administrative Region,2011,,100.8,101.71,99.96,68.27,75.39,61.47,,,,
Region 1: Ilocos Region,2011,,98.69,99.29,98.13,76.19,80.92,71.8,,,,
Region 2: Cagayan Valley,2011,,97.31,98.37,96.32,70.5,76.51,64.89,,,,
Region 3: Central Luzon,2011,,99.21,100.24,98.26,74.59,79.3,70.17,,,,
Region 4A: CALABARZON,2011,,96.58,97.65,95.58,72.46,76.85,68.29,,,,
MIMAROPA: Southwestern Tagalog Region,2011,,97.89,98.56,97.26,61.63,67.66,55.97,,,,
Region 5: Bicol Region,2011,,99.11,99.49,98.75,60.8,67.74,54.38,,,,
Region 6: Western Visayas,2011,,95.82,96.78,94.91,62.4,68.82,56.39,,,,
Region 7: Central Visayas,2011,,98.5,99.77,97.32,61.16,67.94,54.77,,,,
Region 8: Eastern Visayas,2011,,96.58,97.68,95.55,58.48,66.14,51.39,,,,
Region 9: Zamboanga Peninsula,2011,,97.27,98.42,96.18,50.83,56.74,45.21,,,,
Region 10: Northern Mindanao,2011,,94.84,95.67,94.05,55.55,61.3,50.05,,,,
Region 11: Davao Region,2011,,100.53,101.24,99.86,56.52,62.55,50.74,,,,
Region 12: SOCCSKSARGEN,2011,,90.95,92.56,89.43,53.97,59.67,48.51,,,,
CARAGA: CARAGA Administrative Region,2011,,95.55,96.08,95.05,56.92,63.22,51.01,,,,
BARMM: Bangsamoro Autonomous Region in Muslim Mindanao,2011,,108.07,114.0,102.23,44.32,51.64,37.05,,,,
PHILIPPINES,2012,,97.29,98.11,96.53,66.17,71.92,60.74,,,,
NCR: National Capital Region,2012,,99.22,100.65,97.87,81.02,85.14,77.04,,,,
CAR: Cordillera Administrative Region,2012,,100.0,100.46,99.56,70.43,77.62,63.61,,,,
Region 1: Ilocos Region,2012,,97.56,97.66,97.47,77.67,82.5,73.18,,,,
Region 2: Cagayan Valley,2012,,98.4,98.97,97.87,71.31,77.5,65.56,,,,
Region 3: Central Luzon,2012,,98.46,99.1,97.86,75.34,80.19,70.81,,,,
Region 4A: CALABARZON,2012,,97.29,98.01,96.61,73.74,78.39,69.34,,,,
MIMAROPA: Southwestern Tagalog Region,2012,,96.78,97.14,96.44,63.5,69.78,57.63,,,,
Region 5: Bicol Region,2012,,98.6,98.64,98.56,61.52,68.22,55.32,,,,
Region 6: Western Visayas,2012,,96.5,96.97,96.06,63.15,69.73,57.0,,,,
Region 7: Central Visayas,2012,,99.79,100.56,99.07,64.02,70.8,57.65,,,,
Region 8: Eastern Visayas,2012,,96.13,96.59,95.69,60.03,67.33,53.26,,,,
Region 9: Zamboanga Peninsula,2012,,95.03,95.69,94.41,51.63,58.14,45.46,,,,
Region 10: Northern Mindanao,2012,,94.42,94.36,94.47,57.35,63.22,51.76,,,,
Region 11: Davao Region,2012,,98.92,99.52,98.35,57.49,63.87,51.4,,,,
Region 12: SOCCSKSARGEN,2012,,90.23,91.4,89.12,55.11,61.14,49.36,,,,
CARAGA: CARAGA Administrative Region,2012,,95.49,95.82,95.18,58.9,65.7,52.52,,,,
BARMM: Bangsamoro Autonomous Region in Muslim Mindanao,2012,,96.72,101.63,91.89,39.88,46.55,33.26,,,,
PHILIPPINES,2013,,97.2,97.68,96.74,67.89,73.69,62.42,,,,
NCR: National Capital Region,2013,,99.64,100.57,98.77,81.64,85.54,77.91,,,,
CAR: Cordillera Administrative Region,2013,,99.66,99.47,99.85,71.87,78.84,65.3,,,,
Region 1: Ilocos Region,2013,,97.39,97.23,97.54,79.89,84.51,75.61,,,,
Region 2: Cagayan Valley,2013,,100.08,100.17,100.0,72.9,78.74,67.49,,,,
Region 3: Central Luzon,2013,,99.03,99.24,98.83,77.86,82.67,73.38,,,,
Region 4A: CALABARZON,2013,,96.09,96.75,95.48,74.64,79.69,69.87,,,,
MIMAROPA: Southwestern Tagalog Region,2013,,95.77,95.83,95.71,64.93,71.09,59.18,,,,
Region 5: Bicol Region,2013,,98.53,98.39,98.67,64.78,71.41,58.62,,,,
Region 6: Western Visayas,2013,,97.71,97.88,97.56,65.21,71.69,59.16,,,,
Region 7: Central Visayas,2013,,100.97,101.36,100.59,68.13,75.26,61.44,,,,
Region 8: Eastern Visayas,2013,,95.7,95.93,95.49,63.32,70.34,56.79,,,,
Region 9: Zamboanga Peninsula,2013,,91.62,91.83,91.41,52.83,59.48,46.55,,,,
Region 10: Northern Mindanao,2013,,94.0,93.82,94.18,56.67,62.83,50.8,,,,
Region 11: Davao Region,2013,,100.65,100.87,100.44,60.04,66.62,53.81,,,,
Region 12: SOCCSKSARGEN,2013,,90.52,91.43,89.64,56.88,63.66,50.45,,,,
CARAGA: CARAGA Administrative Region,2013,,96.86,96.7,97.02,61.25,67.86,55.05,,,,
BARMM: Bangsamoro Autonomous Region in Muslim Mindanao,2013,,92.86,97.32,88.47,38.02,45.08,31.03,,,,
PHILIPPINES,2014,,97.19,97.53,96.87,67.19,73.05,61.68,,,,
NCR: National Capital Region,2014,,99.01,99.95,98.13,78.93,83.49,74.61,,,,
CAR: Cordillera Administrative Region,2014,,100.16,100.05,100.27,72.5,79.73,65.74,,,,
Region 1: Ilocos Region,2014,,97.84,97.4,98.25,79.24,83.98,74.87,,,,
Region 2: Cagayan Valley,2014,,101.15,101.26,101.04,72.44,78.46,66.87,,,,
Region 3: Central Luzon,2014,,99.56,99.77,99.36,77.54,82.48,72.97,,,,
