1.4.1p6 Net Enrolment Rate in secondary education (Indicator is also found in SDG 4.3.s2),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
,..Region I,Both Sexes,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,51.11,60.39,64.06,61.54,65.6379,...,...
,,Boys,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,44.4,53.26,57.48,54.5,58.7108,...,...
,,Girls,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,58.42,68.15,71.24,69.23,73.2342,...,...
,..Region II,Both Sexes,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,43.41,51.49,56.21,56.46,61.4433,...,...
,,Boys,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,36.37,44.08,48.96,48.45,52.8585,...,...
,,Girls,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,51.07,59.56,64.13,65.2,70.8277,...,...
,..Region III,Both Sexes,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,47.96,55.99,60.19,58.03,60.0165,...,...
,,Boys,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,42.01,49.75,54.46,51.62,53.02,...,...
,,Girls,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,54.35,62.7,66.35,64.94,67.5813,...,...
,..Region IV-A,Both Sexes,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,45.61,53.9,58.33,54.79,54.7999,...,...
,,Boys,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,39.51,47.62,52.0,48.16,48.1915,...,...
,,Girls,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,52.07,60.55,65.05,61.84,61.8488,...,...
,..MIMAROPA,Both Sexes,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,35.09,43.27,48.14,46.0,50.2024,...,...
,,Boys,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,28.95,36.37,41.29,39.02,42.9974,...,...
,,Girls,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,41.66,50.67,55.51,53.52,57.9633,...,...
,..Region V,Both Sexes,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,28.35,39.63,45.8,42.31,43.518,...,...
,,Boys,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,22.19,32.16,37.74,34.35,35.2324,...,...
,,Girls,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,34.98,47.68,54.49,50.91,52.4657,...,...
,..Region VI,Both Sexes,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,32.54,44.17,49.74,44.22,48.2144,...,...
,,Boys,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,25.49,36.17,41.38,36.34,39.5905,...,...
,,Girls,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,40.11,52.77,58.72,52.66,57.4538,...,...
,..Region VII,Both Sexes,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,35.9,47.21,53.28,47.81,49.7072,...,...
,,Boys,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,27.91,37.99,43.97,39.12,40.75496,...,...
,,Girls,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,44.43,57.06,63.24,57.12,59.3148,...,...
