4.1.s1 Completion Rate of elementary and secondary students 1/ 2/,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
Year,,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018.0,2019.0,2020.0,2021,2022
Geolocation,Level of Education,Sex,,,,,,,,,,,,,,,,,,,,,,,
,Secondary (Junior High School),Both Sexes,62.65,67.71,73.22,62.14,66.29,46.82,70.95,69.44,68.74,69.72,68.29,70.01,64.56,67.75,77.2,70.65,72.42,78.16,82.52,77.27,87.12404365636907,...,...
,,Female,64.32,70.15,75.04,68.56,71.63,52.36,73.74,74.19,72.47,71.49,72.97,75.56,69.53,72.91,79.77,76.14,77.73,82.43,88.59,82.93,90.09627214735903,...,...
,,Male,60.78,64.91,71.24,55.49,60.61,40.95,67.88,64.38,64.7,67.85,63.44,64.37,59.44,62.43,74.54,65.04,66.78,73.68,76.28,71.57,84.09045325838602,...,...
,Secondary (Senior High School),Both Sexes,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,75.14,68.39,77.00337843536857,...,...
,,Female,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,78.92,73.36,80.71941127023224,...,...
,,Male,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,71.25,63.18,73.14884431473332,...,...
..Region X,Elementary,Both Sexes,61.11,62.65,66.28,65.97,58.06,59.73,65.87,67.94,68.67,64.46,65.47,63.84,63.25,72.12,82.57,83.98,91.92,90.07,94.78,94.44,82.90732492745173,...,...
,,Female,66.08,67.06,71.14,73.15,65.31,66.53,72.11,73.93,74.66,71.95,71.9,70.28,68.47,77.99,86.48,89.07,95.11,93.78,96.68,96.74,85.7430952305051,...,...
,,Male,56.62,58.67,61.95,59.75,51.82,53.76,60.43,62.66,63.39,58.1,59.88,58.22,58.65,66.95,79.01,79.49,89.03,86.76,92.78,92.32,80.29802307615266,...,...
,Secondary (Junior High School),Both Sexes,68.1,67.44,79.56,62.73,61.21,57.23,66.38,71.68,70.38,65.87,79.94,64.97,72.22,69.11,76.94,72.1,79.79,79.03,86.28,82.2,83.11686557286312,...,...
,,Female,72.22,71.26,82.56,67.23,67.08,63.02,71.56,76.16,75.4,70.92,83.55,71.38,77.86,73.15,81.62,77.24,84.84,83.68,90.18,85.8,86.76833981035054,...,...
,,Male,63.88,63.32,76.33,58,55.21,51.09,60.85,66.94,65.2,60.74,76.26,58.72,66.57,65,72.26,66.94,74.58,74.27,82.2,78.59,79.50828504322833,...,...
,Secondary (Senior High School),Both Sexes,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,78.32,73.29,74.57098728626106,...,...
,,Female,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,81.43,77.08,80.39951269150303,...,...
,,Male,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,74.25,69.24,68.67070168947407,...,...
